team,Date,Total Distance,Total Duration,timestamp,Seconds Moving,5km Time,Leg Number for Team,5km Elevation,Color
International Super Spreaders,June 3rd 2020,5.01,1304,6/4/2020 4:41,1304,1301.397206,48,25.75,#FFD700
Spunky Monkeys,June 3rd 2020,5.02,1478,6/4/2020 5:06,1478,1472.111554,50,41.14,#00A86B
International Super Spreaders,June 3rd 2020,5.03,1849,6/4/2020 5:15,1849,1837.972167,49,53.28,#FFD700
RIOT Runners,June 3rd 2020,5.05,2256,6/4/2020 6:17,2256,2233.663366,18,24.75,#FFA500
WhorunstheworldGIRLS,June 3rd 2020,5.02,1613,6/4/2020 6:28,1613,1606.573705,15,17.93,#1DD5EE
International Super Spreaders,June 3rd 2020,5.33,4152,6/4/2020 6:32,4152,3894.934334,50,326.45,#FFD700
Unicorns on the Run!,June 3rd 2020,5.03,1767,6/4/2020 6:38,1767,1756.461233,13,90.46,White
Footpussys,June 3rd 2020,6.02,2097,6/4/2020 6:38,2097,1741.694352,12,9.14,Orange
WhorunstheworldGIRLS,June 3rd 2020,8.02,2812,6/4/2020 7:37,2812,1753.117207,16,43.02,#1DD5EE
Poko Fish,June 3rd 2020,5.28,3202,6/4/2020 7:56,3202,3032.19697,7,82.67,#9966CC
Canberra Kitties,June 3rd 2020,6.48,2900,6/4/2020 8:30,2900,2237.654321,12,252.31,Red
RIOT Runners,June 3rd 2020,5.02,3643,6/4/2020 9:15,3643,3628.486056,19,38.84,#FFA500
Footpussys,June 4th 2020,8.19,4930,6/4/2020 11:02,4930,3009.76801,13,43.96,Orange
his life,,5.2,1524,6/4/2020 11:22,1524,1465.384615,6,9.62,"Atze, Dave"
his life,,5.2,1524,6/4/2020 13:03,1524,1465.384615,7,9.62,"Atze, Dave"
Asante Sana Squash Banana,June 4th 2020,5.03,1818,6/4/2020 13:34,1818,1807.157058,9,51.99,#E52B50
The Sensei Garys,June 4th 2020,5.07,1961,6/4/2020 15:32,1961,1933.925049,4,23.67,black
Canberra Kitties,June 4th 2020,5.04,1675,6/4/2020 15:57,1675,1661.706349,13,117.66,Red
Asante Sana Squash Banana,June 4th 2020,5.11,2682,6/4/2020 16:25,2682,2624.266145,10,24.85,#E52B50
Poko Fish,June 4th 2020,5.01,3268,6/4/2020 17:06,3268,3261.477046,8,47.90,#9966CC
Asante Sana Squash Banana,June 4th 2020,5.01,1747,6/4/2020 17:19,1747,1743.512974,11,29.94,#E52B50
Spunky Monkeys,June 4th 2020,7.1,3221,6/4/2020 17:54,3221,2268.309859,51,135.92,#00A86B
Canberra Kitties,June 4th 2020,5.13,1597,6/4/2020 18:50,1597,1556.530214,14,39.38,Red
RIOT Runners,June 4th 2020,5.01,1968,6/4/2020 18:55,1968,1964.071856,20,2.00,#FFA500
Unicorns on the Run!,June 4th 2020,5.02,2808,6/4/2020 19:37,2808,2796.812749,14,75.60,White
WhorunstheworldGIRLS,June 4th 2020,5,1500,6/4/2020 21:38,1500,1500,17,0.00,#1DD5EE
WhorunstheworldGIRLS,June 4th 2020,5,1200,6/4/2020 21:39,1200,1200,17,0.00,#1DD5EE
The Sensei Garys,June 4th 2020,5.01,1657,6/5/2020 6:40,1657,1653.692615,2,125.65,black
Souls of the Sahara,June 4th 2020,5.9,3541,6/5/2020 6:56,3541,3000.847458,4,61.44,Cyan
Poko Fish,June 4th 2020,5.03,1805,6/5/2020 7:06,1805,1794.234592,9,87.48,#9966CC
WhorunstheworldGIRLS,June 4th 2020,5.23,1973,6/5/2020 7:11,1973,1886.23327,18,47.13,#1DD5EE
Unicorns on the Run!,June 4th 2020,5.41,2319,6/5/2020 7:26,2319,2143.253235,15,176.52,White
his life,June 4th 2020,5.02,1717,6/5/2020 8:32,1717,1710.159363,8,185.26,#FF985E
his life,June 4th 2020,5.52,1860,6/5/2020 8:36,1860,1684.782609,9,0.00,#FF985E
his life,June 4th 2020,5.07,1660,6/5/2020 8:41,1660,1637.080868,10,2.96,#FF985E
Canberra Kitties,June 4th 2020,5.06,3514,6/5/2020 9:20,3514,3472.332016,15,56.32,Red
WhorunstheworldGIRLS,June 4th 2020,7.08,2581,6/5/2020 9:26,2581,1822.740113,19,22.60,#1DD5EE
Asante Sana Squash Banana,June 4th 2020,5.07,1589,6/5/2020 9:26,1589,1567.061144,12,11.83,#E52B50
RIOT Runners,June 5th 2020,5.02,2147,6/5/2020 10:34,2147,2138.446215,21,11.95,#FFA500
WhorunstheworldGIRLS,June 5th 2020,5.05,3864,6/5/2020 11:30,3864,3825.742574,20,21.78,#1DD5EE
Footpussys,June 5th 2020,5.03,1735,6/5/2020 12:07,1735,1724.652087,14,0.00,Orange
Poko Fish,June 5th 2020,5.54,5005,6/5/2020 12:35,5005,4517.148014,10,46.03,#9966CC
Canberra Kitties,June 5th 2020,5.08,2197,6/5/2020 12:35,2197,2162.401575,16,262.70,Red
WhorunstheworldGIRLS,June 5th 2020,5.02,1880,6/5/2020 12:51,1880,1872.50996,21,38.15,#1DD5EE
Canberra Kitties,June 5th 2020,5.06,2097,6/5/2020 14:01,2097,2072.134387,17,294.47,Red
Kinfolk,June 5th 2020,6.06,2668,6/5/2020 14:12,2668,2201.320132,4,8.66,#BFFF00
Kinfolk,June 5th 2020,10.01,4125,6/5/2020 14:32,4125,2060.43956,5,7.54,#BFFF00
Canberra Kitties,June 5th 2020,5.01,1066,6/5/2020 14:38,1066,1063.872255,18,32.93,Red
Unicorns on the Run!,June 5th 2020,5.15,3150,6/5/2020 14:38,3150,3058.252427,16,4.85,White
Unicorns on the Run!,June 5th 2020,5.01,1828,6/5/2020 15:45,1828,1824.351297,17,42.22,White
Canberra Kitties,June 5th 2020,5.76,2061,6/5/2020 16:04,2061,1789.0625,19,133.68,Red
RIOT Runners,June 5th 2020,5.02,1420,6/5/2020 16:33,1420,1414.342629,22,12.95,#FFA500
Unicorns on the Run!,June 5th 2020,5.01,1919,6/5/2020 16:57,1919,1915.169661,18,54.09,White
Asante Sana Squash Banana,June 5th 2020,5.02,1823,6/5/2020 17:12,1823,1815.737052,13,5.98,#E52B50
Footpussys,June 5th 2020,5.01,1206,6/5/2020 17:12,1206,1203.592814,15,18.96,Orange
RIOT Runners,June 5th 2020,5.61,2313,6/5/2020 17:33,2313,2061.497326,23,4.72,#FFA500
WhorunstheworldGIRLS,June 5th 2020,5.04,1571,6/5/2020 17:42,1571,1558.531746,22,16.87,#1DD5EE
RIOT Runners,June 5th 2020,5.02,1827,6/5/2020 18:16,1827,1819.721116,24,15.14,#FFA500
WhorunstheworldGIRLS,June 5th 2020,5.04,2699,6/5/2020 18:31,2699,2677.579365,23,47.62,#1DD5EE
Souls of the Sahara,June 5th 2020,5.1,1487,6/5/2020 18:54,1487,1457.843137,5,72.94,Cyan
RIOT Runners,June 5th 2020,5.01,2202,6/5/2020 18:59,2202,2197.60479,25,43.91,#FFA500
his life,June 5th 2020,5.01,1642,6/6/2020 6:07,1642,1638.722555,11,7.98,#FF985E
his life,June 5th 2020,5.02,1625,6/6/2020 6:26,1625,1618.525896,12,45.82,#FF985E
WhorunstheworldGIRLS,June 5th 2020,7.64,4138,6/6/2020 7:02,4138,2708.115183,24,310.86,#1DD5EE
Footpussys,June 5th 2020,5.05,1371,6/6/2020 7:40,1371,1357.425743,16,37.62,Orange
Footpussys,June 5th 2020,5.03,1898,6/6/2020 8:30,1898,1886.67992,17,34.79,Orange
RIOT Runners,June 5th 2020,5.02,3471,6/6/2020 8:30,3471,3457.171315,26,200.20,#FFA500
Asante Sana Squash Banana,June 5th 2020,5.01,1851,6/6/2020 8:30,1851,1847.305389,14,172.65,#E52B50
Unicorns on the Run!,June 5th 2020,6.08,2051,6/6/2020 8:55,2051,1686.677632,19,31.25,White
RIOT Runners,June 5th 2020,5.06,1824,6/6/2020 9:07,1824,1802.371542,27,16.80,#FFA500
Footpussys,June 6th 2020,6.13,2746,6/6/2020 9:37,2746,2239.804241,18,8.97,Orange
Souls of the Sahara,June 6th 2020,5.01,1679,6/6/2020 9:53,1679,1675.648703,6,14.97,Cyan
Spunky Monkeys,June 6th 2020,10.01,3747,6/6/2020 9:53,3747,1871.628372,52,135.86,#00A86B
The Sensei Garys,June 6th 2020,5.1,2994,6/6/2020 10:21,2994,2935.294118,3,0.00,black
RIOT Runners,June 6th 2020,10.01,4146,6/6/2020 10:35,4146,2070.929071,28,8.49,#FFA500
Canberra Kitties,June 6th 2020,23.02,9324,6/6/2020 10:41,9324,2025.195482,20,113.60,Red
The Sensei Garys,June 6th 2020,5,1642,6/6/2020 10:51,1642,1642,4,0.00,black
RIOT Runners,June 6th 2020,5.01,1896,6/6/2020 11:13,1896,1892.215569,29,29.94,#FFA500
Asante Sana Squash Banana,June 6th 2020,5.04,39384:00:00,6/6/2020 12:17,1641,1627.97619,15,30.56,#E52B50
Footpussys,June 6th 2020,5.27,102240:00:00,6/6/2020 13:15,4260,4041.745731,19,19.92,Orange
Asante Sana Squash Banana,June 6th 2020,5.01,41928:00:00,6/6/2020 13:15,1747,1743.512974,16,27.54,#E52B50
WhorunstheworldGIRLS,June 6th 2020,6.01,91200:00:00,6/6/2020 13:45,3800,3161.397671,25,14.56,#1DD5EE
Unicorns on the Run!,June 6th 2020,5.11,45960:00:00,6/6/2020 14:58,1915,1873.776908,20,121.92,White
Twelve Kitties,June 6th 2020,5.11,47544:00:00,6/6/2020 15:07,1981,1938.356164,51,8.81,#CCCCFF
Canberra Kitties,June 6th 2020,5.09,39120:00:00,6/6/2020 15:17,1630,1601.178782,21,16.01,Red
Kinfolk,June 6th 2020,5,59976:00:00,6/6/2020 15:26,2499,2499,6,7.80,#BFFF00
Spunky Monkeys,June 6th 2020,10.01,151896:00:00,6/6/2020 15:48,6329,3161.338661,53,81.42,#00A86B
Footpussys,June 6th 2020,5.03,39384:00:00,6/6/2020 15:53,1641,1631.212724,20,13.92,Orange
Canberra Kitties,June 6th 2020,5.07,42576:00:00,6/6/2020 15:54,1774,1749.506903,22,116.96,Red
Asante Sana Squash Banana,June 6th 2020,5,75192:00:00,6/6/2020 16:14,3133,3133,17,9.00,#E52B50
Poko Fish,June 6th 2020,13.15,243744:00:00,6/6/2020 16:39,10156,3861.596958,11,109.85,#9966CC
RIOT Runners,June 6th 2020,5.26,50280:00:00,6/6/2020 16:59,2095,1991.444867,31,25.19,#FFA500
Canberra Kitties,June 6th 2020,6.39,55152:00:00,6/6/2020 17:04,2298,1798.122066,23,113.46,Red
Kinfolk,June 6th 2020,5.07,43896:00:00,6/6/2020 17:13,1829,1803.747535,7,24.56,#BFFF00
Asante Sana Squash Banana,June 6th 2020,5.01,40848:00:00,6/6/2020 17:18,1702,1698.602794,18,5.99,#E52B50
Twelve Kitties,June 6th 2020,5.34,45216:00:00,6/6/2020 17:32,1884,1764.044944,52,30.90,#CCCCFF
Souls of the Sahara,June 6th 2020,5.18,48000:00:00,6/6/2020 17:37,2000,1930.501931,7,177.61,Cyan
RIOT Runners,June 6th 2020,5.01,90048:00:00,6/6/2020 18:18,3752,3744.510978,32,17.66,#FFA500
Unicorns on the Run!,June 6th 2020,5.7,52968:00:00,6/6/2020 18:38,2207,1935.964912,21,150.00,White
RIOT Runners,June 6th 2020,5.02,57408:00:00,6/6/2020 19:36,2392,2382.47012,33,51.79,#FFA500
WhorunstheworldGIRLS,June 6th 2020,8.41,84288:00:00,6/6/2020 20:05,3512,2087.990488,26,22.00,#1DD5EE
Footpussys,June 6th 2020,5.01,57096:00:00,6/7/2020 8:24,2379,2374.251497,21,10.98,Orange
RIOT Runners,June 6th 2020,5.2,56040:00:00,6/7/2020 8:34,2335,2245.192308,34,22.12,#FFA500
WhorunstheworldGIRLS,June 6th 2020,5.06,51696:00:00,6/7/2020 8:58,2154,2128.458498,27,32.61,#1DD5EE
Twelve Kitties,June 6th 2020,5.28,39024:00:00,6/7/2020 9:14,1626,1539.772727,53,11.55,#CCCCFF
his life,June 6th 2020,21.6,189360:00:00,6/7/2020 9:20,7890,1826.388889,13,73.61,#FF985E
RIOT Runners,June 7th 2020,5.02,81864:00:00,6/7/2020 9:39,3411,3397.410359,35,36.85,#FFA500
Footpussys,June 7th 2020,12.16,96240:00:00,6/7/2020 9:48,4010,1648.848684,22,33.72,Orange
WhorunstheworldGIRLS,June 7th 2020,5.1,60504:00:00,6/7/2020 10:03,2521,2471.568627,28,38.14,#1DD5EE
RIOT Runners,June 7th 2020,5.01,54672:00:00,6/7/2020 10:29,2278,2273.453094,36,22.95,#FFA500
Poko Fish,June 7th 2020,5.01,53928:00:00,6/7/2020 10:33,2247,2242.51497,12,84.33,#9966CC
Canberra Kitties,June 7th 2020,5.2,76848:00:00,6/7/2020 11:28,3202,3078.846154,24,592.02,Red
Twelve Kitties,June 7th 2020,5.27,117912:00:00,6/7/2020 11:33,4913,4661.290323,54,130.93,#CCCCFF
Kinfolk,June 7th 2020,6.74,120240:00:00,6/7/2020 11:33,5010,3716.617211,8,9.87,#BFFF00
his life,,5.2,36576:00:00,6/7/2020 12:03,1524,1465.384615,14,9.62,"Atze, Dave"
his life,,5.2,36576:00:00,6/7/2020 12:08,1524,1465.384615,15,9.62,"Atze, Dave"
his life,,5.2,36576:00:00,6/7/2020 12:13,1524,1465.384615,16,9.62,"Atze, Dave"
WhorunstheworldGIRLS,June 7th 2020,9.53,155352:00:00,6/7/2020 12:18,6473,3396.117524,29,28.86,#1DD5EE
Poko Fish,June 7th 2020,5.01,41760:00:00,6/7/2020 12:39,1740,1736.526946,13,83.03,#9966CC
Souls of the Sahara,June 7th 2020,21.73,317112:00:00,6/7/2020 12:43,13213,3040.266912,8,162.45,Cyan
Canberra Kitties,June 7th 2020,5.09,41736:00:00,6/7/2020 13:57,1739,1708.251473,25,3.93,Red
Spunky Monkeys,June 7th 2020,5.44,42312:00:00,6/7/2020 14:32,1763,1620.404412,54,11.95,#00A86B
Canberra Kitties,June 7th 2020,5.04,153792:00:00,6/7/2020 15:10,6408,6357.142857,26,70.44,Red
Asante Sana Squash Banana,June 7th 2020,5.05,37752:00:00,6/7/2020 16:27,1573,1557.425743,19,8.81,#E52B50
Twelve Kitties,June 7th 2020,5.2,37584:00:00,6/7/2020 17:20,1566,1505.769231,55,43.27,#CCCCFF
Poko Fish,June 7th 2020,5.73,130488:00:00,6/7/2020 18:32,5437,4744.328098,14,37.87,#9966CC
International Super Spreaders,June 7th 2020,10.01,264576:00:00,6/7/2020 20:49,11024,5506.493506,51,168.83,#FFD700
his life,June 7th 2020,5.02,39960:00:00,6/8/2020 6:32,1665,1658.366534,17,15.94,#FF985E
his life,June 7th 2020,5.05,40224:00:00,6/8/2020 6:38,1676,1659.405941,18,50.50,#FF985E
Souls of the Sahara,June 7th 2020,8.68,71688:00:00,6/8/2020 7:38,2987,1720.62212,9,82.60,Cyan
Canberra Kitties,June 7th 2020,5.02,33912:00:00,6/8/2020 7:38,1413,1407.370518,27,5.98,Red
International Super Spreaders,June 7th 2020,5.5,43272:00:00,6/8/2020 8:03,1803,1639.090909,52,8.18,#FFD700
Footpussys,June 7th 2020,5.2,95808:00:00,6/8/2020 8:43,3992,3838.461538,23,41.35,Orange
Footpussys,June 8th 2020,5.46,44112:00:00,6/8/2020 9:35,1838,1683.150183,24,14.65,Orange
RIOT Runners,June 8th 2020,5.3,55248:00:00,6/8/2020 9:49,2302,2171.698113,37,8.49,#FFA500
WhorunstheworldGIRLS,June 8th 2020,7.5,66336:00:00,6/8/2020 10:04,2764,1842.666667,30,32.00,#1DD5EE
Spunky Monkeys,June 8th 2020,10.44,111264:00:00,6/8/2020 10:34,4636,2220.306513,55,307.90,#00A86B
RIOT Runners,June 8th 2020,5.07,67176:00:00,6/8/2020 10:44,2799,2760.35503,38,62.13,#FFA500
Poko Fish,June 8th 2020,5.42,89568:00:00,6/8/2020 11:47,3732,3442.804428,15,76.75,#9966CC
RIOT Runners,June 8th 2020,5.22,50112:00:00,6/8/2020 12:17,2088,2000,39,29.89,#FFA500
Asante Sana Squash Banana,June 8th 2020,5.08,91128:00:00,6/8/2020 12:42,3797,3737.204724,20,83.66,#E52B50
Kinfolk,June 8th 2020,5,62712:00:00,6/8/2020 13:28,2613,2613,9,7.90,#BFFF00
Unicorns on the Run!,June 8th 2020,7.01,74208:00:00,6/8/2020 14:00,3092,2205.420827,23,74.89,White
Twelve Kitties,June 8th 2020,6.77,61560:00:00,6/8/2020 14:30,2565,1894.387001,56,93.06,#CCCCFF
RIOT Runners,June 8th 2020,5.01,54456:00:00,6/8/2020 14:39,2269,2264.471058,40,23.25,#FFA500
Unicorns on the Run!,June 8th 2020,5.01,57480:00:00,6/8/2020 15:15,2395,2390.219561,24,2.69,White
International Super Spreaders,June 8th 2020,10.19,129456:00:00,6/8/2020 15:35,5394,2646.712463,53,143.77,#FFD700
Poko Fish,June 8th 2020,5.34,108840:00:00,6/8/2020 15:50,4535,4246.254682,16,31.27,#9966CC
Poko Fish,June 8th 2020,5.34,108840:00:00,6/8/2020 15:50,4535,4246.254682,16,31.27,#9966CC
WhorunstheworldGIRLS,June 8th 2020,5.45,82488:00:00,6/8/2020 17:09,3437,3153.211009,31,43.67,#1DD5EE
Canberra Kitties,June 8th 2020,5.04,31632:00:00,6/8/2020 17:14,1318,1307.539683,28,51.59,Red
RIOT Runners,June 8th 2020,5.32,78456:00:00,6/8/2020 17:14,3269,3072.368421,42,62.97,#FFA500
Unicorns on the Run!,June 8th 2020,5.04,38736:00:00,6/8/2020 17:14,1614,1601.190476,25,142.86,White
Footpussys,June 8th 2020,5.02,108432:00:00,6/8/2020 17:14,4518,4500,25,65.74,Orange
Canberra Kitties,June 8th 2020,5.11,35256:00:00,6/8/2020 17:50,1469,1437.377691,29,9.10,Red
WhorunstheworldGIRLS,June 8th 2020,5.16,43680:00:00,6/8/2020 17:55,1820,1763.565891,32,46.51,#1DD5EE
Asante Sana Squash Banana,June 8th 2020,5.01,53616:00:00,6/8/2020 18:11,2234,2229.540918,21,169.66,#E52B50
RIOT Runners,June 8th 2020,5.03,79632:00:00,6/8/2020 18:20,3318,3298.210736,43,37.77,#FFA500
Asante Sana Squash Banana,June 8th 2020,7.02,53160:00:00,6/8/2020 18:16,2215,1577.635328,22,24.50,#E52B50
Canberra Kitties,June 8th 2020,7.39,87000:00:00,6/8/2020 18:59,3625,2452.638701,30,195.13,Red
his life,June 8th 2020,5.03,39336:00:00,6/9/2020 6:26,1639,1629.224652,19,22.86,#FF985E
his life,June 8th 2020,5.37,40080:00:00,6/9/2020 6:31,1670,1554.934823,19,24.21,#FF985E
Twelve Kitties,June 8th 2020,10.14,80904:00:00,6/9/2020 7:20,3371,1662.228797,57,124.26,#CCCCFF
Twelve Kitties,June 8th 2020,10.01,81144:00:00,6/9/2020 7:30,3381,1688.811189,58,121.88,#CCCCFF
International Super Spreaders,June 8th 2020,6.6,71472:00:00,6/9/2020 7:50,2978,2256.060606,54,135.61,#FFD700
Twelve Kitties,June 8th 2020,6.35,76368:00:00,6/9/2020 8:30,3182,2505.511811,59,9.45,#CCCCFF
Souls of the Sahara,June 8th 2020,10,115200:00:00,6/9/2020 9:23,4800,2400,10,0.00,Cyan
WhorunstheworldGIRLS,June 9th 2020,9.39,89976:00:00,6/9/2020 10:15,3749,1996.27263,33,36.21,#1DD5EE
RIOT Runners,June 9th 2020,5.01,52272:00:00,6/9/2020 11:24,2178,2173.652695,44,8.98,#FFA500
WhorunstheworldGIRLS,June 9th 2020,5.01,89112:00:00,6/9/2020 11:24,3713,3705.588822,34,18.96,#1DD5EE
RIOT Runners,June 9th 2020,5.01,84864:00:00,6/9/2020 12:57,3536,3528.942116,45,71.86,#FFA500
RIOT Runners,June 9th 2020,5.02,71016:00:00,6/9/2020 14:13,2959,2947.211155,46,156.77,#FFA500
The Sensei Garys,June 9th 2020,5.01,41712:00:00,6/9/2020 14:38,1738,1734.530938,5,35.73,black
Asante Sana Squash Banana,June 9th 2020,5.11,53928:00:00,6/9/2020 14:43,2247,2198.630137,23,53.62,#E52B50
Canberra Kitties,June 9th 2020,10.2,200328:00:00,6/9/2020 15:22,8347,4091.666667,31,282.35,Red
Twelve Kitties,June 9th 2020,5.02,91224:00:00,6/9/2020 15:29,3801,3785.856574,60,52.79,#CCCCFF
Kinfolk,June 9th 2020,5.31,115488:00:00,6/9/2020 15:33,4812,4531.073446,10,7.16,#BFFF00
WhorunstheworldGIRLS,June 9th 2020,5.2,86400:00:00,6/9/2020 17:01,3600,3461.538462,35,39.52,#1DD5EE
Footpussys,June 9th 2020,5.03,37608:00:00,6/9/2020 17:20,1567,1557.654076,26,6.96,Orange
RIOT Runners,June 9th 2020,5.22,51312:00:00,6/9/2020 17:25,2138,2047.89272,47,11.02,#FFA500
Poko Fish,June 9th 2020,5.03,38808:00:00,6/9/2020 17:55,1617,1607.355865,17,81.51,#9966CC
Unicorns on the Run!,June 9th 2020,8.97,69624:00:00,6/9/2020 18:00,2901,1617.056856,26,17.78,White
RIOT Runners,June 9th 2020,5.01,42528:00:00,6/9/2020 18:10,1772,1768.463074,48,15.17,#FFA500
Asante Sana Squash Banana,June 9th 2020,5.02,48984:00:00,6/9/2020 18:20,2041,2032.868526,24,6.97,#E52B50
Twelve Kitties,June 9th 2020,11.7,102600:00:00,6/9/2020 18:29,4275,1826.923077,61,175.56,#CCCCFF
The Sensei Garys,June 9th 2020,5.03,40632:00:00,6/9/2020 18:35,1693,1682.902584,6,112.52,black
Asante Sana Squash Banana,June 9th 2020,5.31,46416:00:00,6/9/2020 18:54,1934,1821.092279,25,8.47,#E52B50
Souls of the Sahara,June 9th 2020,13.01,109200:00:00,6/9/2020 19:10,4550,1748.654881,11,78.32,Cyan
International Super Spreaders,June 9th 2020,14.13,128952:00:00,6/9/2020 19:49,5373,1901.273885,55,171.37,#FFD700
Unicorns on the Run!,June 9th 2020,5.77,55440:00:00,6/9/2020 20:03,2310,2001.733102,27,144.71,White
Unicorns on the Run!,June 9th 2020,5.14,44328:00:00,6/9/2020 21:48,1847,1796.692607,28,0.00,White
International Super Spreaders,June 9th 2020,5.39,63864:00:00,6/10/2020 2:19,2661,2468.460111,56,85.44,#FFD700
RIOT Runners,June 9th 2020,5.01,65208:00:00,6/10/2020 6:28,2717,2711.576846,49,6.99,#FFA500
WhorunstheworldGIRLS,June 9th 2020,5.03,41760:00:00,6/10/2020 6:37,1740,1729.622266,36,21.87,#1DD5EE
Souls of the Sahara,June 9th 2020,5.01,42360:00:00,6/10/2020 6:56,1765,1761.477046,12,20.96,Cyan
his life,June 9th 2020,5.03,37368:00:00,6/10/2020 7:12,1557,1547.713718,20,7.95,#FF985E
Footpussys,June 9th 2020,5.07,37992:00:00,6/10/2020 7:17,1583,1561.143984,27,16.77,Orange
The Sensei Garys,June 9th 2020,5.01,60984:00:00,6/10/2020 7:27,2541,2535.928144,7,136.53,black
his life,June 9th 2020,10.35,84480:00:00,6/10/2020 7:31,3520,1700.483092,21,14.98,#FF985E
his life,,5.2,36576:00:00,6/10/2020 8:06,1524,1465.384615,22,9.62,"Atze, Dave"
Souls of the Sahara,June 9th 2020,5,49128:00:00,6/10/2020 8:11,2047,2047,13,180.00,Cyan
The Sensei Garys,June 9th 2020,5,40680:00:00,6/10/2020 8:11,1695,1695,8,97.20,black
Canberra Kitties,June 9th 2020,11.39,90672:00:00,6/10/2020 8:20,3778,1658.472344,32,38.98,Red
Twelve Kitties,June 9th 2020,5.08,41328:00:00,6/10/2020 8:25,1722,1694.88189,62,20.67,#CCCCFF
Poko Fish,June 9th 2020,6.02,88992:00:00,6/10/2020 8:35,3708,3079.734219,18,13.37,#9966CC
Souls of the Sahara,June 9th 2020,16.01,169224:00:00,6/10/2020 9:29,7051,2202.061212,14,36.54,Cyan
Canberra Kitties,June 10th 2020,5.02,71040:00:00,6/10/2020 13:32,2960,2948.207171,33,619.52,Red
Canberra Kitties,June 10th 2020,5.3,29208:00:00,6/10/2020 13:58,1217,1148.113208,34,16.98,Red
WhorunstheworldGIRLS,June 10th 2020,8,67488:00:00,6/10/2020 14:28,2812,1757.5,37,45.00,#1DD5EE
Canberra Kitties,June 10th 2020,5.01,31032:00:00,6/10/2020 16:10,1293,1290.419162,35,27.94,Red
Asante Sana Squash Banana,June 10th 2020,5.03,37560:00:00,6/10/2020 16:14,1565,1555.666004,26,7.85,#E52B50
Unicorns on the Run!,June 10th 2020,6.15,60552:00:00,6/10/2020 16:46,2523,2051.219512,29,49.59,White
Asante Sana Squash Banana,June 10th 2020,5.01,41808:00:00,6/10/2020 17:18,1742,1738.522954,27,8.98,#E52B50
Unicorns on the Run!,June 10th 2020,5,47400:00:00,6/10/2020 17:23,1975,1975,30,72.40,White
Asante Sana Squash Banana,June 10th 2020,5.01,41808:00:00,6/10/2020 17:18,1742,1738.522954,27,8.98,#E52B50
WhorunstheworldGIRLS,June 10th 2020,5,37176:00:00,6/10/2020 17:34,1549,1549,38,42.00,#1DD5EE
RIOT Runners,June 10th 2020,5.09,49368:00:00,6/10/2020 17:34,2057,2020.628684,50,45.19,#FFA500
The Sensei Garys,June 10th 2020,5.14,43008:00:00,6/10/2020 17:43,1792,1743.190661,9,34.82,black
Unicorns on the Run!,June 10th 2020,5.01,40248:00:00,6/10/2020 17:57,1677,1673.652695,31,97.80,White
Spunky Monkeys,June 10th 2020,15.01,133200:00:00,6/10/2020 17:58,5550,1848.767488,56,7.20,#00A86B
Footpussys,June 10th 2020,5.21,35712:00:00,6/10/2020 18:02,1488,1428.023033,28,66.22,Orange
Footpussys,June 10th 2020,5.21,35712:00:00,6/10/2020 18:02,1488,1428.023033,28,66.22,Orange
Poko Fish,June 10th 2020,5.25,80856:00:00,6/10/2020 18:13,3369,3208.571429,19,79.81,#9966CC
The Sensei Garys,June 10th 2020,5.02,38832:00:00,6/10/2020 18:18,1618,1611.553785,10,106.27,black
Twelve Kitties,June 10th 2020,11.52,75936:00:00,6/10/2020 18:28,3164,1373.263889,63,60.76,#CCCCFF
WhorunstheworldGIRLS,June 10th 2020,5.09,44016:00:00,6/10/2020 18:28,1834,1801.571709,39,38.31,#1DD5EE
Footpussys,June 10th 2020,5.02,36168:00:00,6/10/2020 18:52,1507,1500.996016,29,0.00,Orange
Footpussys,June 10th 2020,5.31,39984:00:00,6/10/2020 19:33,1666,1568.73823,30,11.30,Orange
WhorunstheworldGIRLS,June 10th 2020,6.43,57288:00:00,6/10/2020 20:09,2387,1856.143079,40,31.10,#1DD5EE
International Super Spreaders,June 10th 2020,5.15,56160:00:00,6/10/2020 22:52,2340,2271.84466,57,0.00,#FFD700
Canberra Kitties,June 10th 2020,5.67,41808:00:00,6/11/2020 7:04,1742,1536.155203,36,74.07,Red
Unicorns on the Run!,June 10th 2020,5.23,40128:00:00,6/11/2020 7:18,1672,1598.470363,32,82.03,White
Spunky Monkeys,June 10th 2020,8.02,104232:00:00,6/11/2020 7:23,4343,2707.605985,57,139.03,#00A86B
Unicorns on the Run!,June 10th 2020,7.89,99744:00:00,6/11/2020 7:23,4156,2633.713561,33,150.82,White
The Sensei Garys,June 10th 2020,5.01,58464:00:00,6/11/2020 7:28,2436,2431.137725,11,136.03,black
Footpussys,June 10th 2020,12.22,99672:00:00,6/11/2020 7:33,4153,1699.263502,31,45.83,Orange
Souls of the Sahara,June 10th 2020,17.57,148104:00:00,6/11/2020 8:07,6171,1756.118384,15,89.53,Cyan
Asante Sana Squash Banana,June 10th 2020,5.01,41808:00:00,6/11/2020 8:12,1742,1738.522954,28,122.75,#E52B50
The Sensei Garys,June 10th 2020,5.01,39240:00:00,6/11/2020 8:27,1635,1631.736527,12,110.08,black
Unicorns on the Run!,June 11th 2020,5.11,42264:00:00,6/11/2020 10:03,1761,1723.091977,34,157.53,White
