team,distance,duration,timestamp,seconds_moving,5km_time,leg_number_for_team,Elevation,Penalty,
Unicorn Trail Team 1,6032.9,2085,1/5/2020 19:57,2085,1728.024665,15,,,
Coodows,5126.5,1343,1/5/2020 20:22,1343,1309.860529,3,,,
Twelve Kitties,5060.6,1401,1/5/2020 20:22,1401,1416.828044,23,,,
Unicorn Trail Team 1,5002.3,2242,1/5/2020 20:46,2242,2388.901105,16,,,
Twelve Kitties,5014.8,1236,1/5/2020 20:51,1236,1232.352237,24,,,
Twelve Kitties,5035.7,1314,1/5/2020 21:16,1314,1305.677463,25,,,
Unicorn Trail Team 1,5018,1688,1/5/2020 21:22,1688,1689.916301,17,,,
Coodows,5022.4,1458,1/5/2020 21:26,1458,1451.497292,4,,,
Twelve Kitties,5088.1,1607,1/5/2020 21:49,1607,1579.174938,26,,,
MMI Adventure Racing,5021.1,1461,1/5/2020 21:54,1461,1454.860489,6,,,
Unicorn Trail Team 1,5165,1644,1/5/2020 21:56,1644,1593.417231,18,,,
Twelve Kitties,5073.4,1421,1/5/2020 22:24,1421,1400.441519,27,,,
Unicorn Trail Team 1,5039,1514,1/5/2020 22:28,1514,1534.034531,19,,,
Coodows,5111.4,29592:00:00,1/5/2020 22:40,1233,1211.996713,5,,,
MMI Adventure Racing,5097.9,0:00:00,1/5/2020 22:40,1887,1887.051531,7,,,
Unicorn Trail Team 1,5025.5,0:00:00,1/5/2020 22:59,1396,1388.916526,20,,,
Twelve Kitties,5036.9,0:00:00,1/5/2020 22:59,1295,1285.512915,28,,,
Twelve Kitties,5057,0:00:00,1/5/2020 23:36,2014,1994.265375,29,,,
Twelve Kitties,5085.8,0:00:00,2/5/2020 0:06,1498,1498.289355,30,,,
Twelve Kitties,5015.6,0:00:00,2/5/2020 0:38,1557,1552.157269,31,,,
Twelve Kitties,5321.9,0:00:00,2/5/2020 1:12,1480,1399.875984,32,,,
MS/MR,5010,36432:00:00,2/5/2020 5:12,1518,1514.97006,13,,,
MS/MR,5110.1,1714,2/5/2020 5:50,1714,1694.683079,14,,,
Straight Outta Stompton,8258.8,2567,2/5/2020 6:09,2567,1554.099869,5,,,
MS/MR,5000.1,0:00:00,2/5/2020 6:33,2130,2162.956741,15,,,
The Sensei Garys,5022.7,0:00:00,2/5/2020 6:43,1604,1599.737193,6,,,
Unicorn Trail Team 1,5021.8,0:00:00,2/5/2020 7:13,1611,1604.006532,21,,,
MS/MR,5134.5,0:00:00,2/5/2020 7:23,1494,1460.706982,16,,,
Straight Outta Stompton,5015.7,0:00,2/5/2020 7:49,1708,1704.647407,6,,,
WhorunstheworldGIRLS,5709.1,0:00,2/5/2020 7:49,2516,2213.133419,5,,,
Unicorn Trail Team 1,5012,0:00,2/5/2020 7:54,1446,1453.511572,22,,,
Twelve Kitties,5028.6,0:00,1/5/2020 15:00,1522,1517.320924,33,,,
MS/MR,5016,0:00,2/5/2020 7:59,1503,1503.189793,17,,,
Coodows,5200.5,1523,2/5/2020 8:00,1523,1464.282281,6,,,
Twelve Kitties,5033.5,1363,2/5/2020 8:12,1363,1365.848813,34,,,
Footpussys,14279,4248,1/5/2020 7:27,4248,1526.367393,2,,,
Unicorn Trail Team 1,5632.1,1715,2/5/2020 8:28,1715,1522.522682,23,,,
MS/MR,5108.1,1550,2/5/2020 8:28,1550,1531.880738,18,,,
Footpussys,5262,1375,2/5/2020 8:37,1375,1306.537438,3,,,
Straight Outta Stompton,5140.4,34560:00:00,2/5/2020 8:42,1440,1400.669209,7,,,
Poko Fish,5026.2,0:00:00,2/5/2020 8:42,3764,5822.490152,3,,,
MMI Adventure Racing,5092,0:00:00,2/5/2020 8:47,1561,1541.633936,8,,,
Twelve Kitties,5084.6,0:00:00,2/5/2020 8:47,1532,1506.509853,35,,,
Unicorn Trail Team 1,5206.4,0:00:00,2/5/2020 9:07,1897,1871.734788,24,,,
The Sensei Garys,5111.4,1898,2/5/2020 9:07,1898,1868.372657,7,,,
Straight Outta Stompton,5005,1517,2/5/2020 9:12,1517,1515.484515,8,,,
Footpussys,5029.1,1554,2/5/2020 9:12,1554,1545.008053,4,,,
MS/MR,5004.6,1878,2/5/2020 9:12,1878,1886.264637,19,,,
Footpussys,5024.5,1441,2/5/2020 9:46,1441,1433.97353,5,,,
Unicorn Trail Team 1,5605.2,1996,2/5/2020 9:46,1996,1785.841718,25,,,
Straight Outta Stompton,5012.6,34200:00:00,2/5/2020 9:50,1425,1421.418027,9,,,
Twelve Kitties,5059.2,0:00:00,2/5/2020 9:50,1462,1444.892473,36,,,
MMI Adventure Racing,5073,0:00:00,2/5/2020 10:04,1387,1373.940469,9,,,
The Sensei Garys,5012.5,0:00:00,2/5/2020 10:08,1458,1480.299252,8,,,
Poko Fish,5114.7,0:00:00,2/5/2020 10:08,1828,1797.759399,4,,,
Asante sana squash banana,5007.3,1768,2/5/2020 10:08,1768,1859.285443,3,,,
Twelve Kitties,5025.8,1264,2/5/2020 10:19,1264,1257.511242,37,,,
MMI Adventure Racing,5184.5,1972,2/5/2020 10:44,1972,1984.762272,10,,,
Asante sana squash banana,5117.3,1885,2/5/2020 10:49,1885,1865.241436,4,,,
Unicorn Trail Team 1,5011.1,1807,2/5/2020 10:49,1807,2129.273014,26,,,
MS/MR,5135.7,1519,2/5/2020 11:00,1519,1517.806725,20,,,
The Phoebe Buffay Running Club,5150.3,35136:00:00,2/5/2020 11:00,1464,1421.27643,2,,,
Twelve Kitties,5059.4,0:00:00,2/5/2020 11:00,1981,1957.742025,38,,,
Poko Fish,5025,0:00:00,2/5/2020 11:09,1802,1802.985075,5,,,
Unicorn Trail Team 1,5007,0:00:00,2/5/2020 11:26,1918,1937.287797,27,,,
Twelve Kitties,5046.3,0:00:00,2/5/2020 11:31,1620,1608.108911,39,,,
Asante sana squash banana,5035.6,1641,2/5/2020 11:31,1641,1659.186591,5,,,
Unicorn Trail Team 1,5013.8,1542,2/5/2020 11:56,1542,1544.736527,28,,,
Twelve Kitties,5475.1,1643,2/5/2020 12:06,1643,1500.429216,40,,,
The Phoebe Buffay Running Club,5098.8,1623,2/5/2020 12:17,1623,1591.550953,3,,,
Asante sana squash banana,5055.4,1463,2/5/2020 12:17,1463,1446.967599,6,,,
Unicorn Trail Team 1,5036,1483,2/5/2020 12:27,1483,1472.398729,29,,,
Twelve Kitties,5065.3,28680:00:00,2/5/2020 12:37,1195,1179.594496,41,,,
MS/MR,5039,0:00:00,2/5/2020 12:47,1452,1440.762056,21,,,
The Sensei Garys,5088.5,0:00:00,2/5/2020 12:52,3342,3283.875405,9,,,
Asante sana squash banana,5013.8,0:00:00,2/5/2020 13:11,2097,2091.22821,7,,,
Twelve Kitties,5020,0:00:00,2/5/2020 13:11,1232,1227.091633,42,,,
Unicorn Trail Team 1,5043.2,1849,2/5/2020 13:13,1849,2073.088515,30,,,
Twelve Kitties,5022.2,1208,2/5/2020 13:36,1208,1202.660189,43,,,
Unicorn Trail Team 1,5028.9,1317,2/5/2020 13:41,1317,1309.431486,31,,,
Coodows,5255.4,1346,2/5/2020 13:41,1346,1280.587586,7,,,
Coodows,5120.4,1547,2/5/2020 14:12,1547,1518.43606,8,,,
Twelve Kitties,5056.5,1417,2/5/2020 14:12,1417,1401.166815,44,,,
Unicorn Trail Team 1,5009.2,1322,2/5/2020 14:17,1322,1319.571988,32,,,
MS/MR,5950.8,1903,2/5/2020 14:33,1903,1612.38825,22,,,
Twelve Kitties,5127.1,1222,2/5/2020 14:38,1222,1203.409335,45,,,
Coodows,5789.8,1593,2/5/2020 14:43,1593,1375.695188,9,,,
Unicorn Trail Team 1,5127.7,1534,2/5/2020 14:48,1534,1495.797336,33,,,
The Phoebe Buffay Running Club,5039.2,1443,2/5/2020 14:53,1443,1431.774885,4,,,
Twelve Kitties,5016.6,1167,2/5/2020 15:03,1167,1163.138381,46,,,
MS/MR,5015.7,1808,2/5/2020 15:23,1808,1802.34065,23,,,
Twelve Kitties,5034,1755,2/5/2020 15:39,1755,1743.146603,47,,,
Coodows,5641.7,1876,2/5/2020 15:52,1876,1662.619423,10,,,
The Phoebe Buffay Running Club,5027.9,1479,2/5/2020 15:52,1479,1470.792975,5,,,
Poko Fish,5420.1,3722,2/5/2020 16:02,3722,3668.751499,6,,,
Twelve Kitties,5027.9,1515,2/5/2020 16:08,1515,1506.59321,48,,,
Unicorn Trail Team 1,5107.4,1501,2/5/2020 16:08,1501,1529.153777,34,,,
MS/MR,5282.9,1520,2/5/2020 16:11,1520,1438.603797,24,,,
Asante sana squash banana,5003.7,1683,2/5/2020 16:32,1683,1747.706697,8,,,
Twelve Kitties,5013.8,1461,2/5/2020 16:38,1461,1456.978739,49,,,
Unicorn Trail Team 1,5115.3,1808,2/5/2020 16:42,1808,1801.45837,35,,,
MS/MR,5030,1547,2/5/2020 16:52,1547,1537.77336,25,,,
Twelve Kitties,5107.4,1110,2/5/2020 17:02,1110,1086.658574,50,,,
Asante sana squash banana,5115.7,1908,2/5/2020 17:12,1908,1867.779581,9,,,
MS/MR,5107.6,1612,2/5/2020 17:22,1612,1584.8931,26,,,
Unicorn Trail Team 1,5007.1,1940,2/5/2020 17:26,1940,1967.206567,36,,,
MMI Adventure Racing,5009.4,1703,2/5/2020 17:48,1703,1816.584821,11,,,
Asante sana squash banana,5033.1,1645,2/5/2020 17:53,1645,1648.089647,10,,,
Footpussys,5442.9,3246,2/5/2020 17:53,3246,3294.199783,6,,,
Unicorn Trail Team 1,5011,1626,2/5/2020 17:59,1626,1626.421872,37,,,
MS/MR,5000.6,1905,2/5/2020 18:32,1905,1904.771427,27,,,
Unicorn Trail Team 1,5385.7,1965,2/5/2020 18:46,1965,1858.62562,38,,,
MS/MR,5369.1,38976:00:00,2/5/2020 19:09,1624,1515.151515,28,,,
Unicorn Trail Team 1,5036,34632:00:00,2/5/2020 19:15,1443,1432.68467,39,,,
Asante sana squash banana,5014.1,35208:00:00,2/5/2020 19:24,1467,1462.874693,11,,,
Unicorn Trail Team 1,5024.8,32160:00:00,2/5/2020 19:44,1340,1333.386403,40,,,
Unicorn Trail Team 1,5013.4,38352:00:00,2/5/2020 20:19,1598,1593.728807,41,,,
Unicorn Trail Team 1,5007.5,34968:00:00,2/5/2020 20:50,1457,1457.81328,42,,,
Unicorn Trail Team 1,5469.4,34296:00:00,2/5/2020 21:21,1429,1306.359016,43,,,
Unicorn Trail Team 1,5103,39336:00:00,2/5/2020 22:01,1639,1612.776798,44,,,
MS/MR,5015,39144:00:00,2/5/2020 22:17,1631,1626.121635,29,,,
Unicorn Trail Team 1,5059.5,47112:00:00,2/5/2020 22:50,1963,1939.915011,45,,,
MS/MR,5147.5,43704:00:00,3/5/2020 5:19,1821,1772.705197,30,,,
MS/MR,5013.3,52032:00:00,3/5/2020 6:04,2168,2188.179443,31,,,
Straight Outta Stompton,5012.5,40272:00:00,3/5/2020 6:08,1678,1673.815461,10,,,
MS/MR,5347.2,41352:00:00,3/5/2020 6:53,1723,1611.123579,32,,,
The Sensei Garys,5448.9,47592:00:00,3/5/2020 7:17,1983,1902.218796,10,,,
MS/MR,5020,40104:00:00,3/5/2020 7:47,1671,1702.191235,33,,,
Footpussys,5187.5,36408:00:00,3/5/2020 7:52,1517,1462.168675,7,,,
Straight Outta Stompton,5014.2,33312:00:00,3/5/2020 7:52,1388,1384.069243,11,,,
Unicorn Trail Team 1,5011.3,46320:00:00,3/5/2020 7:52,1930,1948.596173,46,,,
